City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,panacan,9.2463,118.4082,80.87,77,81,5.93,PH,1696374138
331,bardai,11.65,7.2333,72.43,79,96,5.79,NG,1696374138
332,kutum,14.2,24.6667,78.04,48,87,2.17,SD,1696374138
333,nizhniy odes,63.6445,54.856,40.96,89,100,7.2,RU,1696374139
334,ambagarh chauki,20.7833,80.7167,70.54,70,100,6.35,IN,1696374139
335,tabou,4.423,-7.3528,76.28,83,20,6.76,CI,1696374139
336,bull savanna,17.8868,-77.5902,80.78,81,83,2.82,JM,1696374139
337,khvalynsk,52.4906,48.1058,51.48,80,26,4.65,RU,1696374139
338,marinette,45.1,-87.6307,78.85,68,0,9.22,US,1696374140
339,mhangura,-16.8939,30.1683,62.89,53,24,5.37,ZW,1696374140
340,puerto baquerizo moreno,-0.9,-89.6,76.19,83,75,13.8,EC,1696374140
341,kapuskasing,49.4169,-82.4331,82.49,42,20,14.97,CA,1696374131
342,vale de cambra,40.8497,-8.3939,68.68,71,100,3.36,PT,1696374140
343,masterton,-40.9597,175.6575,51.89,47,2,2.98,NZ,1696374141
344,santa elena de uairen,4.6167,-61.1333,75.31,65,92,3.83,VE,1696374141
345,buala,-8.145,159.5921,84.07,76,98,7.81,SB,1696374141
346,shingu,33.7333,135.9833,72.34,91,80,6.53,JP,1696374142
347,newbiggin-by-the-sea,55.1853,-1.5147,53.24,84,20,8.05,GB,1696374142
348,kwang binh,17.4833,106.6,78.98,89,100,2.57,VN,1696374142
349,la'ie,21.6477,-157.9253,87.76,65,5,3.0,US,1696374142
350,tughyl,47.7252,84.2063,53.69,82,96,1.54,KZ,1696374142
351,port douglas,-16.4833,145.4667,76.46,76,43,5.12,AU,1696374142
352,paracuru,-3.41,-39.0306,81.1,78,68,13.58,BR,1696374143
353,todmorden,53.7143,-2.097,54.32,94,60,1.01,GB,1696374143
354,vorgashor,67.5833,63.95,31.77,92,83,7.67,RU,1696374143
355,bamboo flat,11.7,92.7167,77.09,94,75,2.3,IN,1696374143
356,mariental,-24.6333,17.9667,83.37,23,100,8.23,NA,1696374143
357,conceicao da barra,-18.5933,-39.7322,75.16,88,100,8.3,BR,1696374144
358,hotan,37.0997,79.9269,62.33,22,82,4.52,CN,1696374144
359,camaqua,-30.8511,-51.8122,60.71,95,85,6.24,BR,1696374032
360,nogliki,51.8333,143.1667,45.34,86,10,17.0,RU,1696374144
